date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result,area_name,wasIncumbent
2020-09-26,SE-14,Sabah,N.42 Melalap,5,Masdin Bin Tumas,3911,LDP,58,23,0.22003252654740263,lost_deposit,Melalap,False
2020-09-26,SE-14,Sabah,N.42 Melalap,6,Jamawi  Jaafar,21980,BN,25,3526,33.73194298287573,lost,Melalap,False
2020-09-26,SE-14,Sabah,N.43 Kemabong,1,Lucas Umbul,21981,UPKO,87,3202,29.23666910153397,lost,Kemabong,False
2020-09-26,SE-14,Sabah,N.43 Kemabong,2,Tay Jin Kiong @ Alfred,18564,PCS,75,229,2.0909422936449964,lost_deposit,Kemabong,False
2020-09-26,SE-14,Sabah,N.43 Kemabong,3,Rainus Bin Sagulau,21983,USNO,15,73,0.66654492330168,lost_deposit,Kemabong,False
2020-09-26,SE-14,Sabah,N.43 Kemabong,4,Raime Bin Unggi,3572,BN,25,2966,27.081811541271,lost,Kemabong,False
2020-09-26,SE-14,Sabah,N.43 Kemabong,5,Rubin Bin Balang,4335,BEBAS,1,4214,38.476990504017536,won,Kemabong,False
2020-09-26,SE-14,Sabah,N.43 Kemabong,6,Juster Bin Peter,21986,LDP,58,268,2.4470416362308254,lost_deposit,Kemabong,False
2020-09-26,SE-14,Sabah,N.44 Tulid,1,Dahalan @ Ulin Bin Abdullah @ Amil,21987,LDP,58,52,0.7674144037780402,lost_deposit,Tulid,False
2020-09-26,SE-14,Sabah,N.44 Tulid,2,Mudi Bin Dubing,21988,WARISAN,74,1589,23.450413223140494,lost,Tulid,False
2020-09-26,SE-14,Sabah,N.44 Tulid,3,Flovia Ng,21989,PN,12,2267,33.45631641086187,won,Tulid,False
2020-09-26,SE-14,Sabah,N.44 Tulid,4,Mohamad Khairy Bin Abdullah,21990,USNO,15,69,1.0182998819362454,lost_deposit,Tulid,False
2020-09-26,SE-14,Sabah,N.44 Tulid,5,Matusin Bin Timam,21991,PCS,75,356,5.25383707201889,lost_deposit,Tulid,False
2020-09-26,SE-14,Sabah,N.44 Tulid,6,Matusin Bowie,21992,BN,25,1723,25.42798110979929,lost,Tulid,False
2020-09-26,SE-14,Sabah,N.44 Tulid,7,Suman Yasambun,21993,PBS,48,720,10.625737898465172,lost_deposit,Tulid,False
2020-09-26,SE-14,Sabah,N.45 Sook,1,Ellron Bin Angin,2533,PN,12,3554,46.707845971875415,won,Sook,True
2020-09-26,SE-14,Sabah,N.45 Sook,2,Rebecca Taimin,21995,PCS,75,88,1.156525167564726,lost_deposit,Sook,False
2020-09-26,SE-14,Sabah,N.45 Sook,3,Raymond Ahuar,21996,PKR,11,2322,30.51649362596925,lost,Sook,False
2020-09-26,SE-14,Sabah,N.45 Sook,4,Bonepes Been,21997,BN,25,1535,20.173478775134708,lost,Sook,False
2020-09-26,SE-14,Sabah,N.45 Sook,5,Aning Bin Ansawang,21998,LDP,58,110,1.4456564594559076,lost_deposit,Sook,False
2020-09-26,SE-14,Sabah,N.46 Nabawan,1,Datuk Abd. Ghani Mohd. Yassin,21999,PN,12,4688,55.93604581792149,won,Nabawan,False
2020-09-26,SE-14,Sabah,N.46 Nabawan,2,Maikol Bin Ampuas,22000,BEBAS,1,128,1.5272640496360816,lost_deposit,Nabawan,False
2020-09-26,SE-14,Sabah,N.46 Nabawan,3,Ampalus @ Robert Sanaron,22001,PCS,75,1115,13.303901682376804,lost,Nabawan,False
2020-09-26,SE-14,Sabah,N.46 Nabawan,4,Albert Aguir,22002,UPKO,87,2450,29.232788450065623,lost,Nabawan,False
2020-09-26,SE-14,Sabah,N.47 Telupid,1,Felix Joseph Sitin,22003,UPKO,87,1581,29.507278835386337,lost,Telupid,False
2020-09-26,SE-14,Sabah,N.47 Telupid,2,Takun B. Ladas @ Mohd Johan Sualan Madinal,22004,LDP,58,54,1.007838745800672,lost_deposit,Telupid,False
2020-09-26,SE-14,Sabah,N.47 Telupid,3,Jonnybone J Kurum,22005,PBS,48,2266,42.291899962672645,won,Telupid,False
2020-09-26,SE-14,Sabah,N.47 Telupid,4,Abdul Wahab Bin Abdul Ghani,22006,BN,25,1389,25.923852183650613,lost,Telupid,False
2020-09-26,SE-14,Sabah,N.47 Telupid,5,Jingkoi Bin Luna,22007,PCS,75,68,1.269130272489735,lost_deposit,Telupid,False
2020-09-26,SE-14,Sabah,N.48 Sugut,1,Kamaruddin Bin Jamil,22008,PPRS,77,86,1.1554480720139728,lost_deposit,Sugut,False
2020-09-26,SE-14,Sabah,N.48 Sugut,2,Jubin Bin Tulawi,22009,USNO,15,38,0.5105468225178019,lost_deposit,Sugut,False
2020-09-26,SE-14,Sabah,N.48 Sugut,3,Datuk James Ratib,22010,BN,25,4308,57.87988714228134,won,Sugut,True
2020-09-26,SE-14,Sabah,N.48 Sugut,4,Norsabrina Binti Japar,22011,WARISAN,74,2644,35.52331049308074,lost,Sugut,False
2020-09-26,SE-14,Sabah,N.48 Sugut,5,Raimon Lanjat,22012,PCS,75,124,1.6659948945317749,lost_deposit,Sugut,False
2020-09-26,SE-14,Sabah,N.48 Sugut,6,Razak Allexsius Kontuni,22013,LDP,58,178,2.391508800214967,lost_deposit,Sugut,False
2020-09-26,SE-14,Sabah,N.48 Sugut,7,Undang Bin Jalang,22014,BEBAS,1,65,0.8733037753593982,lost_deposit,Sugut,False
2020-09-26,SE-14,Sabah,N.49 Labuk,1,Dennis T. Rantau,22015,UPKO,87,1493,25.486514168658246,lost,Labuk,False
2020-09-26,SE-14,Sabah,N.49 Labuk,2,Samad Bin Jambri,22016,PN,12,2701,46.10788665073404,won,Labuk,False
2020-09-26,SE-14,Sabah,N.49 Labuk,3,Sh. Suhaimi Bin Sh. Miasin,22017,USNO,15,108,1.8436326391259816,lost_deposit,Labuk,False
2020-09-26,SE-14,Sabah,N.49 Labuk,4,Abdul Rahman Bin Kongkawang,22018,BEBAS,1,1441,24.598839194264254,lost,Labuk,True
2020-09-26,SE-14,Sabah,N.49 Labuk,5,Fidelis K. Michael,22019,PCS,75,115,1.9631273472174804,lost_deposit,Labuk,False
2020-09-26,SE-14,Sabah,N.50 Gum-Gum,1,Yunus Bin Nurdin,22020,BEBAS,1,1690,21.101261081283557,lost,Gum-Gum,False
2020-09-26,SE-14,Sabah,N.50 Gum-Gum,2,Arunarnsin Bin Taib,20245,WARISAN,74,3140,39.205893369958794,won,Gum-Gum,True
2020-09-26,SE-14,Sabah,N.50 Gum-Gum,3,Undang Bin Tumpong,22022,PCS,75,172,2.1475839680359594,lost_deposit,Gum-Gum,False
2020-09-26,SE-14,Sabah,N.50 Gum-Gum,4,Suhaimi Bin Nasir,5122,BN,25,2871,35.84717193157697,lost,Gum-Gum,False
2020-09-26,SE-14,Sabah,N.50 Gum-Gum,5,Jainudin Bin Berahim,22024,LDP,58,113,1.4109127231864151,lost_deposit,Gum-Gum,False
2020-09-26,SE-14,Sabah,N.50 Gum-Gum,6,Riduan Bin Sampai,22025,PPRS,77,23,0.2871769259582969,lost_deposit,Gum-Gum,False
2020-09-26,SE-14,Sabah,N.51 Sungai Manila,1,M D Anuar Bin Ma Yusuf,22026,LDP,58,100,1.2128562765312312,lost_deposit,Sungai Manila,False
2020-09-26,SE-14,Sabah,N.51 Sungai Manila,2,Mohd Arshad Bin Abdul,18588,PPRS,77,90,1.0915706488781078,lost_deposit,Sungai Manila,False
2020-09-26,SE-14,Sabah,N.51 Sungai Manila,3,Sahidzan Bin Ag Salleh,22028,PCS,75,191,2.3165554881746515,lost_deposit,Sungai Manila,False
2020-09-26,SE-14,Sabah,N.51 Sungai Manila,4,Mahmud Bin Sudin,22029,WARISAN,74,3168,38.423286840509405,lost,Sungai Manila,False
2020-09-26,SE-14,Sabah,N.51 Sungai Manila,5,Mokran Bin Ingkat,22030,BN,25,4585,55.609460278956945,won,Sungai Manila,False
